type,parent_name,name,link,status
category,Elektronik,Konsol Game,https://shopee.co.id/Konsol-Game-cat.11044258.11044352,
facet,Konsol Game,Playstation,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101073,
facet,Konsol Game,Xbox,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101074,
facet,Konsol Game,Wii,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101075,
facet,Konsol Game,Nintendo 3DS & DS,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101076,
facet,Konsol Game,Gameboy,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101077,
facet,Konsol Game,Switch,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101078,
facet,Konsol Game,PS Vita,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101079,
facet,Konsol Game,PSP,https://shopee.co.id/Konsol-Game-cat.11044258.11044352?facet=101080,
category,Elektronik,Aksesoris Konsol,https://shopee.co.id/Aksesoris-Konsol-cat.11044258.11044362,
facet,Aksesoris Konsol,Aksesoris Konsol,https://shopee.co.id/Aksesoris-Konsol-cat.11044258.11044362?facet=100696,
category,Elektronik,Alat Casting,https://shopee.co.id/Alat-Casting-cat.11044258.11044363,
category,Elektronik,Foot Bath & Spa,https://shopee.co.id/Foot-Bath-&-Spa-cat.11044258.11044259,
category,Elektronik,Mesin Jahit & Aksesoris,https://shopee.co.id/Mesin-Jahit-&-Aksesoris-cat.11044258.11044260,
category,Elektronik,Setrika & Mesin Uap,https://shopee.co.id/Setrika-&-Mesin-Uap-cat.11044258.11044261,
category,Elektronik,Purifier & Humidifier,https://shopee.co.id/Purifier-&-Humidifier-cat.11044258.11044262,
category,Elektronik,Penyedot Debu & Peralatan Perawatan Lantai,https://shopee.co.id/Penyedot-Debu-&-Peralatan-Perawatan-Lantai-cat.11044258.11044266,
category,Elektronik,Telepon,https://shopee.co.id/Telepon-cat.11044258.11044271,
category,Elektronik,Mesin Cuci & Pengering,https://shopee.co.id/Mesin-Cuci-&-Pengering-cat.11044258.11044276,
category,Elektronik,Water Heater,https://shopee.co.id/Water-Heater-cat.11044258.11044280,
category,Elektronik,Pendingin Ruangan,https://shopee.co.id/Pendingin-Ruangan-cat.11044258.11044281,
category,Elektronik,Pengering Sepatu,https://shopee.co.id/Pengering-Sepatu-cat.11044258.11044286,
category,Elektronik,Penghangat Ruangan,https://shopee.co.id/Penghangat-Ruangan-cat.11044258.11044287,
category,Elektronik,TV & Aksesoris,https://shopee.co.id/TV-&-Aksesoris-cat.11044258.11044288,
facet,TV & Aksesoris,TV,https://shopee.co.id/TV-&-Aksesoris-cat.11044258.11044288?facet=100185,
facet,TV & Aksesoris,Antena TV,https://shopee.co.id/TV-&-Aksesoris-cat.11044258.11044288?facet=100186,
facet,TV & Aksesoris,TV Box & Receiver TV,https://shopee.co.id/TV-&-Aksesoris-cat.11044258.11044288?facet=100187,
facet,TV & Aksesoris,Bracket TV,https://shopee.co.id/TV-&-Aksesoris-cat.11044258.11044288?facet=100188,
facet,TV & Aksesoris,TV & Aksesoris Lainnya,https://shopee.co.id/TV-&-Aksesoris-cat.11044258.11044288?facet=100189,
category,Elektronik,Perangkat Dapur,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294,
facet,Perangkat Dapur,Dispenser & Filter Air,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100190,
facet,Perangkat Dapur,Pemanas Air,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100191,
facet,Perangkat Dapur,Kulkas Wine,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100192,
facet,Perangkat Dapur,"Juicer, Blender & Mesin Kacang Kedelai",https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100193,
facet,Perangkat Dapur,Mesin Kopi & Aksesoris,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100194,
facet,Perangkat Dapur,Mixer,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100195,
facet,Perangkat Dapur,Dishwashers,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100196,
facet,Perangkat Dapur,Kompor & Regulator Gas,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100197,
facet,Perangkat Dapur,Air Fryer,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100198,
facet,Perangkat Dapur,Deep Fryer,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100199,
facet,Perangkat Dapur,Microwave,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100200,
facet,Perangkat Dapur,Oven,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100201,
facet,Perangkat Dapur,Pemanggang Roti,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100202,
facet,Perangkat Dapur,Food Processor & Penggiling Daging,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100203,
facet,Perangkat Dapur,Alat Masak Serbaguna,https://shopee.co.id/Perangkat-Dapur-cat.11044258.11044294?facet=100204,
